Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,991.0,18.0,39.0,991.0,0.1,18.508000000000024,0.0,0.0,86.68455791473389,,,,,,,,,,,,,,,,,,,,,5.329097777880104,6.198881069932151,18.336820490823836,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1036.0,19.0,45.0,1036.0,0.1,30.705000000000016,0.0,0.0,90.88719701766968,,,,,,,,,,,,,,,,,,,,,11.50362366627496,10.394773496099486,30.247802291798937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1069.0,20.0,33.0,1069.0,0.1,16.607000000000017,0.0,0.0,94.08626914024353,,,,,,,,,,,,,,,,,,,,,5.144235862699676,5.664296393061589,16.47016407451587,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,69.0,1.0,69.0,1138.0,0.1,32.307000000000016,0.0,0.0,195.0171287059784,,,,,,,,,,,,,,,,,,,,,9.216125271204696,10.037958451138683,31.73452467110442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,137.0,2.0,68.0,1206.0,0.1,31.011000000000035,0.0,0.0,201.44244694709778,,,,,,,,,,,,,,,,,,,,,9.009900950193872,9.582603438031276,30.45921470558328,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,181.0,3.0,44.0,1250.0,0.1,22.80800000000002,0.0,0.0,205.6815848350525,,,,,,,,,,,,,,,,,,,,,7.070738831786417,7.5571822899847865,22.541948847146845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,243.0,4.0,62.0,1312.0,0.1,35.507999999999996,0.0,0.0,211.41359972953796,,,,,,,,,,,,,,,,,,,,,12.415291145925897,11.345567810207621,34.80783280673326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,301.0,5.0,58.0,1370.0,0.1,40.806999999999995,0.0,0.0,216.7382984161377,,,,,,,,,,,,,,,,,,,,,15.311262488891122,13.64324160575663,39.99890458591156,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,383.0,6.0,82.0,1452.0,0.1,36.50800000000003,0.0,0.0,224.12878584861755,,,,,,,,,,,,,,,,,,,,,13.849431562939069,9.453455291134919,35.44319756376897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,412.0,7.0,29.0,1481.0,0.1,11.305999999999994,0.0,0.0,227.2433807849884,,,,,,,,,,,,,,,,,,,,,3.1824285598455577,3.720396868535472,11.236170676947701,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
